School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
484496013299,21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,2-No,2-No,2-No,2-No,2-No,514,514,512,–,0,512,†,14,36.71
481739012205,3D ACADEMY,Texas,1-Yes,2-No,2-No,2-No,2-No,158,158,152,–,0,152,158,14.36,11
484653012331,3RD H S,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
483808012373,7TH H S - NORTHEAST,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
480735000001,A & M CONS H S,Texas,1-Yes,2-No,2-No,2-No,2-No,1763,1763,533,–,91,624,1763,130.1,13.55
480735008712,A & M CONSOLIDATED MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,706,706,246,–,32,278,†,51.84,13.62
481944001801,A B DUNCAN EL,Texas,2-No,2-No,2-No,2-No,2-No,428,428,353,–,2,355,†,30.68,13.95
483042003424,A B MCBAY EL,Texas,2-No,2-No,2-No,2-No,2-No,535,535,405,–,0,405,†,35.41,15.11
480858000225,A C BLUNT MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,318,318,259,–,0,259,†,25.84,12.31
480972000442,A C JONES H S,Texas,1-Yes,2-No,2-No,2-No,2-No,989,989,791,–,0,791,989,57.79,17.11
480972013804,A C JONES HEALTH PROFESSIONS MAGNET ACADEMY,TEXAS,2-No,2-No,2-No,2-No,2-No,41,41,41,–,0,41,41,10.88,3.77
483624004074,A E BUTLER INT,Texas,2-No,2-No,2-No,2-No,2-No,575,575,389,–,31,420,†,34.5,16.67
482493006126,A G ELDER EL,Texas,2-No,2-No,2-No,2-No,2-No,556,556,342,–,31,373,†,37.97,14.64
482247002251,A LEAL JR MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,771,771,707,–,0,707,†,62.34,12.37
481739001496,A M OCHOA EL,Texas,2-No,2-No,2-No,2-No,2-No,423,423,383,–,0,383,†,22.89,18.48
481970001898,A M PATE EL,Texas,2-No,2-No,2-No,2-No,2-No,509,509,497,–,0,497,†,36.28,14.03
484496007002,A N RICO EL,Texas,2-No,2-No,2-No,2-No,2-No,846,846,784,–,0,784,†,50.86,16.63
481119000580,A P BEUTEL EL,Texas,2-No,2-No,2-No,2-No,2-No,659,659,300,–,31,331,†,41.06,16.05
481739017037,A P SOLIS MIDDLE,TEXAS,2-No,2-No,2-No,2-No,2-No,850,850,751,–,0,751,†,74.11,11.47
481317000815,A V CATO EL,Texas,2-No,2-No,2-No,2-No,2-No,644,644,519,–,40,559,†,37.18,17.32
480009510550,A W BROWN - F L A EARLY CHILDHOOD CAMPUS,Texas,2-No,2-No,2-No,2-No,2-No,1193,1193,785,–,59,844,†,60.8,19.62
480020308758,A+ ACADEMY EL,Texas,2-No,2-No,2-No,2-No,2-No,823,823,641,–,105,746,†,44.81,18.37
480020313579,A+ SECONDARY SCHOOL,TEXAS,1-Yes,2-No,2-No,2-No,2-No,586,586,455,–,69,524,369,41.78,14.03
480145313374,A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,2-No,2-No,2-No,2-No,2-No,106,106,49,–,11,60,†,3.93,26.97
480145313369,A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,2-No,2-No,2-No,2-No,2-No,74,74,62,–,5,67,†,3.75,19.73
483301003665,AARON PARKER EL,Texas,2-No,2-No,2-No,2-No,2-No,216,216,132,–,8,140,†,18,12
484653007224,AB HARRISON INT,Texas,2-No,2-No,2-No,2-No,2-No,771,771,197,–,30,227,†,49.28,15.65
482034006706,ABBETT EL,Texas,2-No,2-No,2-No,2-No,2-No,719,719,291,–,41,332,†,46.12,15.59
480738000006,ABBOTT SCHOOL,Texas,1-Yes,2-No,2-No,2-No,2-No,277,277,46,–,24,70,97,24.24,11.43
483057005118,ABELL J H,Texas,2-No,2-No,2-No,2-No,2-No,1077,1077,359,–,84,443,†,64.66,16.66
480741009626,ABERNATHY DAEP,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
480741000007,ABERNATHY EL,Texas,2-No,2-No,2-No,2-No,2-No,354,354,183,–,12,195,†,27.49,12.88
480741000008,ABERNATHY H S,Texas,1-Yes,2-No,2-No,2-No,2-No,238,238,86,–,15,101,238,26.06,9.13
480741000009,ABERNATHY MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,188,188,86,–,14,100,†,14.45,13.01
480744000010,ABILENE H S,Texas,1-Yes,2-No,2-No,2-No,2-No,2126,2126,1213,–,124,1337,2126,138.31,15.37
481830012491,ABOUT FACE JJAEP,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
481830010643,ABOUT FACE PROGRAM EL,Texas,2-No,2-No,2-No,2-No,2-No,13,13,11,–,0,11,†,3.65,3.56
480026110705,ACADEMIC BEHAVIOR SCHOOL EAST,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
480026110706,ACADEMIC BEHAVIOR SCHOOL WEST,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
481023000486,ACADEMY AT CARRIE F THOMAS,Texas,2-No,2-No,2-No,2-No,2-No,625,625,402,–,62,464,†,41.91,14.91
480747013381,ACADEMY EL,TEXAS,2-No,2-No,2-No,2-No,2-No,424,424,175,–,39,214,†,25.25,16.79
480744012452,ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,Texas,1-Yes,2-No,2-No,2-No,2-No,329,329,110,–,28,138,329,22.76,14.46
480747000040,ACADEMY H S,Texas,1-Yes,2-No,2-No,2-No,2-No,450,450,120,–,38,158,450,35.4,12.71
480747000039,ACADEMY INT,Texas,2-No,2-No,2-No,2-No,2-No,397,397,144,–,41,185,†,24.08,16.49
480747006348,ACADEMY J H,Texas,2-No,2-No,2-No,2-No,2-No,381,381,139,–,38,177,†,24.87,15.32
480747010395,ACADEMY JJAEP,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
480003208585,ACADEMY OF ACCELERATED LEARNING,Texas,2-No,2-No,2-No,2-No,2-No,742,742,716,–,0,716,†,40.41,18.36
484110012995,ACADEMY OF CHOICE,Texas,1-Yes,2-No,2-No,2-No,2-No,160,160,107,–,2,109,106,23.64,6.77
483294021107,ACADEMY OF CREATIVE ED,Texas,1-Yes,2-No,2-No,2-No,2-No,109,109,40,–,2,42,109,10.76,10.13
480009008161,ACADEMY OF DALLAS,Texas,2-No,2-No,2-No,2-No,2-No,487,487,474,–,10,484,†,27.08,17.98
480019208593,ACCELERATED INT CHARTER SCHOOL,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
480019210716,ACCELERATED INTERDISCIPLINARY ACAD,Texas,2-No,2-No,2-No,2-No,2-No,248,248,221,–,19,240,†,19,13.05
484653011178,ACHIEVE ACADEMY,Texas,1-Yes,2-No,2-No,2-No,2-No,156,156,53,–,10,63,151,14.72,10.6
482967011859,ACHIEVE EARLY COLLEGE H S,Texas,1-Yes,2-No,2-No,2-No,2-No,483,483,355,–,0,355,483,24.01,20.12
483039012089,ACHZIGER EL,Texas,2-No,2-No,2-No,2-No,2-No,879,879,572,–,82,654,†,51.96,16.92
482139002139,ACTON EL,Texas,2-No,2-No,2-No,2-No,2-No,855,855,363,–,35,398,†,47.56,17.98
482139004811,ACTON MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,942,942,344,–,51,395,†,51.46,18.31
481431000921,AD WHEAT MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,724,724,476,–,50,526,0,58.43,12.39
482703003041,ADA MAE FAUBION EL,Texas,2-No,2-No,2-No,2-No,2-No,440,440,120,–,31,151,†,34.36,12.81
481611001178,ADAM EL,Texas,2-No,2-No,2-No,2-No,2-No,889,889,476,–,57,533,†,50,17.78
481431000916,ADAMS EL,Texas,2-No,2-No,2-No,2-No,2-No,409,409,258,–,34,292,†,28.55,14.33
480870012797,ADAMS EL,Texas,2-No,2-No,2-No,2-No,2-No,805,805,684,–,56,740,†,50.96,15.8
483312003687,ADAMS HILL EL,Texas,2-No,2-No,2-No,2-No,2-No,481,481,390,–,3,393,†,38,12.66
480780000091,ADAMS MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,761,761,650,–,0,650,†,49.09,15.5
481623012890,ADELFA BOTELLO CALLEJO EL,Texas,2-No,2-No,2-No,2-No,2-No,606,606,583,–,0,583,†,38,15.95
481623001375,ADELLE TURNER EL,Texas,2-No,2-No,2-No,2-No,2-No,255,255,206,–,0,206,†,16.18,15.76
481527012737,ADKINS MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,676,676,297,–,0,297,†,34.5,19.59
480783006350,ADMIN SERVICES,Texas,1-Yes,2-No,2-No,2-No,2-No,56,56,34,–,0,34,22,14.09,3.97
480750000042,ADRIAN SCHOOL,Texas,1-Yes,2-No,2-No,2-No,2-No,117,117,54,–,24,78,45,18.16,6.44
483510010506,ADULT BASIC ED,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
481970011016,ADULT ED,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
481168009152,ADULT ED,Texas,2-No,2-No,2-No,1-Yes,2-No,0,0,†,†,†,†,†,0.00,†
480744009394,ADULT LEARNING CTR,Texas,2-No,2-No,2-No,1-Yes,2-No,0,0,†,†,†,†,†,0.00,†
483510013726,ADULT TRANSITION CENTER,TEXAS,2-No,2-No,2-No,1-Yes,2-No,0,0,†,†,†,†,†,44.34,0.00
